Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,New York,New York City,1,1,1995,44.0
North America,US,New York,New York City,1,2,1995,41.8
North America,US,New York,New York City,1,3,1995,28.1
North America,US,New York,New York City,1,4,1995,31.7
North America,US,New York,New York City,1,5,1995,21.3
North America,US,New York,New York City,1,6,1995,27.9
North America,US,New York,New York City,1,7,1995,42.8
North America,US,New York,New York City,1,8,1995,35.5
North America,US,New York,New York City,1,9,1995,34.4
North America,US,New York,New York City,1,10,1995,29.9
North America,US,New York,New York City,1,11,1995,30.7
North America,US,New York,New York City,1,12,1995,35.5
North America,US,New York,New York City,1,13,1995,47.2
North America,US,New York,New York City,1,14,1995,52.4
North America,US,New York,New York City,1,15,1995,56.9
North America,US,New York,New York City,1,16,1995,55.2
North America,US,New York,New York City,1,17,1995,50.3
North America,US,New York,New York City,1,18,1995,42.6
North America,US,New York,New York City,1,19,1995,39.3
North America,US,New York,New York City,1,20,1995,43.1
North America,US,New York,New York City,1,21,1995,43.2
North America,US,New York,New York City,1,22,1995,36.0
North America,US,New York,New York City,1,23,1995,33.3
North America,US,New York,New York City,1,24,1995,35.8
North America,US,New York,New York City,1,25,1995,38.3
North America,US,New York,New York City,1,26,1995,36.6
North America,US,New York,New York City,1,27,1995,34.3
North America,US,New York,New York City,1,28,1995,28.2
North America,US,New York,New York City,1,29,1995,26.0
North America,US,New York,New York City,1,30,1995,33.8
North America,US,New York,New York City,1,31,1995,36.6
North America,US,New York,New York City,2,1,1995,40.5
North America,US,New York,New York City,2,2,1995,40.6
North America,US,New York,New York City,2,3,1995,25.6
North America,US,New York,New York City,2,4,1995,31.3
North America,US,New York,New York City,2,5,1995,24.7
North America,US,New York,New York City,2,6,1995,11.1
North America,US,New York,New York City,2,7,1995,19.0
North America,US,New York,New York City,2,8,1995,23.7
North America,US,New York,New York City,2,9,1995,22.3
North America,US,New York,New York City,2,10,1995,33.0
North America,US,New York,New York City,2,11,1995,39.6
North America,US,New York,New York City,2,12,1995,23.1
North America,US,New York,New York City,2,13,1995,19.1
North America,US,New York,New York City,2,14,1995,27.5
North America,US,New York,New York City,2,15,1995,29.8
North America,US,New York,New York City,2,16,1995,39.9
North America,US,New York,New York City,2,17,1995,39.4
North America,US,New York,New York City,2,18,1995,40.5
North America,US,New York,New York City,2,19,1995,40.6
North America,US,New York,New York City,2,20,1995,43.1
North America,US,New York,New York City,2,21,1995,38.1
North America,US,New York,New York City,2,22,1995,35.3
North America,US,New York,New York City,2,23,1995,40.2
North America,US,New York,New York City,2,24,1995,43.3
North America,US,New York,New York City,2,25,1995,31.2
North America,US,New York,New York City,2,26,1995,28.4
North America,US,New York,New York City,2,27,1995,29.8
North America,US,New York,New York City,2,28,1995,34.9
North America,US,New York,New York City,3,1,1995,39.7
North America,US,New York,New York City,3,2,1995,35.0
North America,US,New York,New York City,3,3,1995,32.6
North America,US,New York,New York City,3,4,1995,35.4
North America,US,New York,New York City,3,5,1995,39.0
North America,US,New York,New York City,3,6,1995,44.0
North America,US,New York,New York City,3,7,1995,45.8
North America,US,New York,New York City,3,8,1995,52.6
North America,US,New York,New York City,3,9,1995,35.3
North America,US,New York,New York City,3,10,1995,27.6
North America,US,New York,New York City,3,11,1995,37.5
